id,State,City,Forecast Number,Date,Main Condition,Condition Description,Icon,Low Temperature,High Temperature,Humidity Percentage,Wind MPH,Wind Direction,Rain Inches,Snow Inches,Pressure,Cloud Percent,UTC Timestamp,Timezone Offset
68,Kansas,Goodland,3,Fri 5/5,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,51.94,77.95,36,16,E,0.91,0,1006,0,1683309600,-21600
69,Kansas,Goodland,4,Sat 5/6,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,52.21,79.99,26,16,S,0,0,1005,10,1683396000,-21600
70,Kansas,Goodland,5,Sun 5/7,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,48.94,71.64,25,16,NW,0.11,0,1009,83,1683482400,-21600
71,Kansas,Topeka,1,Wed 5/3,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,39.31,71.08,34,8,SE,0,0,1015,9,1683136800,-18000
72,Kansas,Topeka,2,Thu 5/4,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,52.03,68.81,65,17,SE,7.29,0,1010,100,1683223200,-18000
73,Kansas,Topeka,3,Fri 5/5,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,57.36,72.68,80,17,SE,3.86,0,1007,96,1683309600,-18000
74,Kansas,Topeka,4,Sat 5/6,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,54.12,82.62,65,16,E,0,0,1010,63,1683396000,-18000
75,Kansas,Topeka,5,Sun 5/7,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,63.5,85.17,51,19,S,0.23,0,1008,10,1683482400,-18000
76,Kansas,Wichita,1,Wed 5/3,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,41.79,77.27,20,10,S,0,0,1015,55,1683136800,-18000
77,Kansas,Wichita,2,Thu 5/4,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,55.67,68.77,74,16,SE,35.57,0,1009,100,1683223200,-18000
78,Kansas,Wichita,3,Fri 5/5,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,60.94,83.66,55,13,E,1.49,0,1005,31,1683309600,-18000
79,Kansas,Wichita,4,Sat 5/6,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,61.63,92.28,24,17,SE,0,0,1007,0,1683396000,-18000
80,Kansas,Wichita,5,Sun 5/7,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,62.46,90.81,38,20,SE,0,0,1008,6,1683482400,-18000
81,Kentucky,Jackson,1,Wed 5/3,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,40.87,56.39,59,13,NW,0.33,0,1011,82,1683133200,-14400
82,Kentucky,Jackson,2,Thu 5/4,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,36.1,64.22,40,8,NW,0,0,1017,2,1683219600,-14400
83,Kentucky,Jackson,3,Fri 5/5,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,43.83,69.4,42,9,SW,0.13,0,1019,100,1683306000,-14400
84,Kentucky,Jackson,4,Sat 5/6,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,52.07,56.25,98,5,E,12.68,0,1017,100,1683392400,-14400
85,Kentucky,Jackson,5,Sun 5/7,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,56.05,71.42,68,3,NE,0.12,0,1017,100,1683478800,-14400
86,Kentucky,Louisville,1,Wed 5/3,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,43.74,60.26,50,12,NW,0,0,1012,9,1683133200,-14400
87,Kentucky,Louisville,2,Thu 5/4,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,39.79,66.33,50,5,NW,0,0,1017,2,1683219600,-14400
88,Kentucky,Louisville,3,Fri 5/5,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,49.41,62.33,62,11,SE,5.22,0,1019,100,1683306000,-14400
89,Kentucky,Louisville,4,Sat 5/6,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,52.77,57.31,97,10,E,16.61,0,1016,100,1683392400,-14400
90,Kentucky,Louisville,5,Sun 5/7,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,54.36,74.71,63,5,E,0,0,1016,70,1683478800,-14400
91,Kentucky,Paducah,1,Wed 5/3,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,45.46,62.82,50,12,NW,0,0,1015,0,1683133200,-18000
92,Kentucky,Paducah,2,Thu 5/4,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,44.6,68.99,54,6,E,0,0,1017,44,1683219600,-18000
93,Kentucky,Paducah,3,Fri 5/5,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,54.5,61.59,93,16,SE,24.43,0,1014,100,1683306000,-18000
94,Kentucky,Paducah,4,Sat 5/6,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,61.07,72.61,77,12,SE,1.8,0,1014,97,1683392400,-18000
95,Kentucky,Paducah,5,Sun 5/7,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,57.24,78.3,77,6,E,3.7,0,1016,95,1683478800,-18000
96,Michigan,Detroit/Pontiac,1,Wed 5/3,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,34.75,47.43,90,18,NW,0.49,0,1008,100,1683133200,-14400
97,Michigan,Detroit/Pontiac,2,Thu 5/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,40.71,53.47,55,8,NW,0,0,1016,99,1683219600,-14400
98,Michigan,Detroit/Pontiac,3,Fri 5/5,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,43,60.17,47,10,E,0,0,1022,50,1683306000,-14400
99,Michigan,Detroit/Pontiac,4,Sat 5/6,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,43.02,60.6,46,11,E,0,0,1023,90,1683392400,-14400
100,Michigan,Detroit/Pontiac,5,Sun 5/7,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,44.24,66.79,34,7,NE,0,0,1019,75,1683478800,-14400
101,Michigan,Gaylord,1,Wed 5/3,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,35.31,45.93,85,13,NW,0.12,0,1009,97,1683133200,-14400
102,Michigan,Gaylord,2,Thu 5/4,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,34.27,50.95,67,7,E,0,0,1016,78,1683219600,-14400
103,Michigan,Gaylord,3,Fri 5/5,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,38.93,54.73,54,11,E,0.1,0,1022,97,1683306000,-14400
104,Michigan,Gaylord,4,Sat 5/6,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,44.04,59.36,46,11,E,0,0,1024,88,1683392400,-14400
105,Michigan,Gaylord,5,Sun 5/7,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,41.02,63.64,41,8,NE,0,0,1021,100,1683478800,-14400
106,Michigan,Grand Rapids,1,Wed 5/3,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,36.99,51.57,72,17,NW,0.31,0,1011,100,1683133200,-14400
107,Michigan,Grand Rapids,2,Thu 5/4,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,33.82,57.22,56,7,E,0,0,1017,56,1683219600,-14400
108,Michigan,Grand Rapids,3,Fri 5/5,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,45.03,62.51,58,13,E,0,0,1020,56,1683306000,-14400
109,Michigan,Grand Rapids,4,Sat 5/6,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,42.55,62.06,55,14,E,0,0,1022,93,1683392400,-14400
110,Michigan,Grand Rapids,5,Sun 5/7,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,41.95,65.71,49,9,E,0,0,1020,50,1683478800,-14400
111,Michigan,Marquette,1,Wed 5/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,31.41,38.34,98,11,NW,0,0,1014,97,1683133200,-14400
112,Michigan,Marquette,2,Thu 5/4,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,32.5,38.39,99,5,SE,0.75,0,1017,100,1683219600,-14400
113,Michigan,Marquette,3,Fri 5/5,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,35.4,43.48,95,8,E,18.79,0,1023,100,1683306000,-14400
114,Michigan,Marquette,4,Sat 5/6,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,39.88,46.38,99,8,E,27.04,0,1026,100,1683392400,-14400
115,Michigan,Marquette,5,Sun 5/7,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,40.68,52.75,91,5,NE,0.54,0,1023,100,1683478800,-14400
116,Minnesota,Duluth,1,Wed 5/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,33.55,57.33,47,7,E,0,0,1013,100,1683136800,-18000
117,Minnesota,Duluth,2,Thu 5/4,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,36.9,47.55,82,15,NE,0.57,0,1013,100,1683223200,-18000
118,Minnesota,Duluth,3,Fri 5/5,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,36.75,39.88,95,15,NE,0.12,0,1019,100,1683309600,-18000
119,Minnesota,Duluth,4,Sat 5/6,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,38.26,40.15,98,13,NE,5.51,0,1022,100,1683396000,-18000
120,Minnesota,Duluth,5,Sun 5/7,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,39.79,46.74,90,13,NE,2.48,0,1020,100,1683482400,-18000
121,Minnesota,Chanhassen/Twin Cities,1,Wed 5/3,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,37.72,63.48,33,6,NW,0,0,1013,69,1683136800,-18000
122,Minnesota,Chanhassen/Twin Cities,2,Thu 5/4,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,46.67,71.37,43,12,N,0,0,1009,30,1683223200,-18000
123,Minnesota,Chanhassen/Twin Cities,3,Fri 5/5,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,50.47,54.93,93,10,NE,3.18,0,1012,100,1683309600,-18000
124,Minnesota,Chanhassen/Twin Cities,4,Sat 5/6,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,53.85,63.93,75,11,E,1.66,0,1017,98,1683396000,-18000
125,Minnesota,Chanhassen/Twin Cities,5,Sun 5/7,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,51.93,62.15,71,13,E,2.49,0,1014,96,1683482400,-18000
126,Missouri,Kansas City/Pleasant Hill,1,Wed 5/3,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,41.43,68.36,35,8,NW,0,0,1016,2,1683136800,-18000
127,Missouri,Kansas City/Pleasant Hill,2,Thu 5/4,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,48.11,68.14,52,14,S,2,0,1012,100,1683223200,-18000
128,Missouri,Kansas City/Pleasant Hill,3,Fri 5/5,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,57.94,65.16,96,13,SE,17.95,0,1007,100,1683309600,-18000
129,Missouri,Kansas City/Pleasant Hill,4,Sat 5/6,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,55.56,80.44,69,12,E,0,0,1012,74,1683396000,-18000
130,Missouri,Kansas City/Pleasant Hill,5,Sun 5/7,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,62.96,82.67,52,16,S,0.13,0,1011,57,1683482400,-18000
131,Missouri,Springfield,1,Wed 5/3,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,40.77,65.84,40,7,NW,0,0,1016,1,1683136800,-18000
132,Missouri,Springfield,2,Thu 5/4,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,47.95,64,75,12,SE,7.27,0,1014,100,1683223200,-18000
133,Missouri,Springfield,3,Fri 5/5,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,57.33,77.22,91,18,SE,22.95,0,1007,100,1683309600,-18000
134,Missouri,Springfield,4,Sat 5/6,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,59.41,83.37,59,10,SW,0,0,1012,15,1683396000,-18000
135,Missouri,Springfield,5,Sun 5/7,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,63.3,87.24,68,15,SE,0.87,0,1012,100,1683482400,-18000
136,Missouri,St. Louis,1,Wed 5/3,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,43.23,65.32,42,9,NW,0,0,1015,3,1683133200,-18000
137,Missouri,St. Louis,2,Thu 5/4,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,46.58,73.09,39,8,SE,0,0,1015,43,1683219600,-18000
138,Missouri,St. Louis,3,Fri 5/5,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,55.98,60.44,96,13,E,18.48,0,1011,100,1683306000,-18000
139,Missouri,St. Louis,4,Sat 5/6,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,54.79,69.94,78,10,E,0.12,0,1016,100,1683392400,-18000
140,Missouri,St. Louis,5,Sun 5/7,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,55.98,78.28,74,9,SE,2.91,0,1014,96,1683478800,-18000
141,Nebraska,Hastings,1,Wed 5/3,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,38.46,73.51,26,11,S,0,0,1013,18,1683136800,-18000
142,Nebraska,Hastings,2,Thu 5/4,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,52.88,77.79,56,16,SE,3.06,0,1005,100,1683223200,-18000
143,Nebraska,Hastings,3,Fri 5/5,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,57.72,68.02,77,13,SE,4.71,0,1007,100,1683309600,-18000
144,Nebraska,Hastings,4,Sat 5/6,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,54.07,80.28,72,16,E,2.4,0,1008,86,1683396000,-18000
145,Nebraska,Hastings,5,Sun 5/7,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,56.5,76.48,56,11,NW,0,0,1007,16,1683482400,-18000
146,Nebraska,North Platte,1,Wed 5/3,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,38.91,75.85,40,15,S,0,0,1011,57,1683136800,-18000
147,Nebraska,North Platte,2,Thu 5/4,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,52.75,79.68,44,14,SE,0.79,0,1003,97,1683223200,-18000
148,Nebraska,North Platte,3,Fri 5/5,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,56.14,71.67,57,14,N,4.04,0,1006,84,1683309600,-18000
149,Nebraska,North Platte,4,Sat 5/6,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,55.8,71.19,71,17,NW,11.85,0,1007,100,1683396000,-18000
150,Nebraska,North Platte,5,Sun 5/7,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,52.21,74.41,29,15,W,0,0,1009,83,1683482400,-18000
151,Nebraska,Omaha/Valley,1,Wed 5/3,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,37.27,72.01,28,8,SE,0,0,1014,0,1683136800,-18000
152,Nebraska,Omaha/Valley,2,Thu 5/4,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,51.22,78.19,49,16,SE,0.29,0,1007,42,1683223200,-18000
